desc,name
Chairman of the Board of the National Water Company of Senegal,Lamine Diack
Jamaican sprinter,Yohan Blake
"Scottish novelist, poet, essayist, and travel writer",Robert Louis Stevenson
Grenadian sprinter,Kirani James
Dominican sprinter,Luguelín Santos
Jamaican sprinter,Warren Weir
American sprinter,Justin Gatlin
track and field sprinter from Trinidad and Tobago,Lalonde Gordon
Kenyan middle distance runner,David Rudisha
French writer,Françoise Sagan
Kenyan middle distance runner,Timothy Kitum
Botswanan middle distance runner,Nijel Amos
Algerian track and field athlete,Taoufik Makhloufi
Mexican-American middle-distance track and field athlete,Leonel Manzano
Ethiopian long-distance runner,Tariku Bekele
British track and field athlete,Mo Farah
Ethiopian long-distance runner,Dejen Gebremeskel
French track and field athlete,Mahiedine Mekhissi-Benabbad
Kenyan long-distance runner,Abel Mutai
Kenyan runner,Ezekiel Kemboi
American track and field athlete,Aries Merritt
Belgian singer-songwriter,Jacques Brel
American professional basketball player,Jason Richardson
Jamaican track and field athlete,Hansle Parchment
Moroccan runner,Abdalaati Iguider
Jamaican sprinter,Nesta Carter
Puerto Rican hurdler,Javier Culson
Dominican track and field athlete,Félix Sánchez
Ugandan long-distance runner,Stephen Kiprotich
racewalker,Chen Ding
Kenyan long-distance runner,Abel Kirui
Kenyan long distance runner,Wilson Kipsang Kiprotich
"French singer, songwriter and actor",Renaud Séchan
Russian high jumper,Ivan Ukhov
Guatemalan racewalker,Erick Barrondo
Australian race walker,Jared Tallent
Russian race walker,Sergey Kirdyapkin
American high jumper,Erik Kynard
British high jumper,Robert Grabarz
German pole vaulter,Björn Otto
French pole vaulter,Renaud Lavillenie
Australian track and field athlete,Mitchell Watt
British long jumper and sprinter,Greg Rutherford
American track and field athlete,Christian Taylor
Qatari track and field athlete,Mutaz Essa Barshim
American track and field athlete,Will Claye
French musician and actor,Serge Gainsbourg
Polish shot putter,Tomasz Majewski
Italian triple jumper and long jumper,Fabrizio Donato
Roman Emperor,Macrinus
American shot putter,Reese Hoffa
German shot putter,David Storl
Roman Emperor,Elagabalus
American medical cannabis activist,Brownie Mary
Roman Emperor,Alexander Severus
German discus thrower,Robert Harting
Iranian discus thrower,Ehsan Hadadi
"American singer, songwriter, and actress",Madonna
Estonian discus thrower,Gerd Kanter
Roman Emperor,Maximinus Thrax
Hungarian hammer thrower,Krisztián Pars
Slovenian hammer thrower,Primož Kozmus
Japanese hammer thrower,Koji Murofushi
"American jazz trumpeter, composer and singer",Louis Armstrong
Burgundian jurist and politician,Jan I Carondelet
Roman Emperor,Gordian I
Trinidadian javelin thrower,Keshorn Walcott
American jazz singer,Ella Fitzgerald
"Burgundian cleric, politician, jurist, and advisor to Charles V, Holy Roman Emperor",Jan II Carondelet
Cuban decathlete,Leonel Suárez
chancellor of Flanders and Burgundy,Claude I Carondelet
English pop singer,Kim Wilde
American decathlete,Ashton Eaton
American track and field athlete,Trey Hardee
"Habsburg diplomat, advisor, and abbot",Ferry Carondelet
French singer,Barbara
Roman Emperor in 238 AD,Gordian II
Roman Emperor,Balbinus
Armenian-French singer and diplomat,Charles Aznavour
Roman Emperor,Pupienus
Roman emperor,Gordian III
Roman Emperor,Decius
French association football player and manager,Laurent Blanc
French singer-songwriter,Daniel Balavoine
French association football player and manager,Corentin Martins
"German author, philosopher, and public relations manager",Michael Schmidt-Salomon
Roman Emperor,Philip the Arab
French association football player and manager,Zinedine Zidane
Dutch footballer,Memphis Depay
Dutch association football player,Jürgen Locadia
French association football player,Hugo Lloris
French association football player and manager,Sabri Lamouchi
French association football player,Yohan Cabaye
French association football player,Adil Rami
French association football player,Mathieu Debuchy
French association football player,Olivier Giroud
French association football player,Karim Benzema
French association football player,Florent Malouda
French association football player,Franck Ribéry
French association football player,Samir Nasri
French association football player,Patrice Evra
French association football player,Mathieu Valbuena
French association football player,Blaise Matuidi
French association football player,Laurent Koscielny
French association football player,Anthony Réveillère
French association football player,Marvin Martin
French association football player,Philippe Mexès
French association football player,Jérémy Ménez
French association football player,Hatem Ben Arfa
French association football player,Yann M'Vila
French association football player,Alou Diarra
French association football player,Steve Mandanda
French association football player,Gaël Clichy
Swedish female alpine skier,Anja Pärson
French association football player,Cédric Carrasso
French association football player,Sidney Govou
French association football player,Eric Abidal
French association football player,William Gallas
French association football player,Bacary Sagna
French association football player,Nicolas Anelka
French association football player,André-Pierre Gignac
French association football player,Jérémy Toulalan
Austrian alpine ski racer,Benjamin Raich
French association football player,Djibril Cissé
French association football player,Abou Diaby
French association football player,Sébastien Squillaci
Italian alpine ski racer,Alberto Tomba
Italian alpine ski racer,Gustav Thöni
Austrian alpine skier,Hermann Maier
Swiss alpine skier,Maria Walliser
,
Swiss alpine ski racer,Erika Hess
Swiss alpine skier,Michela Figini
Swiss alpine ski racer,Vreni Schneider
Italian Alpine skier,Deborah Compagnoni
Japanese manga artist,Eiichiro Oda
Luxembourgian-Swiss alpine ski racer,Marc Girardelli
Japanese manga artist,Masashi Kishimoto
Italian racecar driver,Giuseppe Farina
"Italian poet, novelist, literary critic, and translator",Cesare Pavese
Argentinian racing driver,Juan Manuel Fangio
Roman historian,Titus Livius
"Roman Stoic philosopher, statesman, and dramatist",Seneca
Italian racing driver,Alberto Ascari
Austrian alpine ski racer,Marcel Hirscher
eighteenth President of the French Republic,Charles de Gaulle
"American filmmaker, television director, visual artist, musician and occasional actor",David Lynch
21st President of the French Republic,François Mitterrand
Norwegian alpine ski racer and TV host,Kjetil André Aamodt
"German musician and poet; * 1854, † 1923",Hans Schmidt
Indian social entrepreneur,Giridharilal Kedia
American alpine ski racer,Bode Miller
Australian racing driver,Jack Brabham
President of France,Valéry Giscard d'Estaing
22nd President of France,Jacques Chirac
Latin poet from Hispania,Martial
British racecar driver,Mike Hawthorn
French comedian and actor,Coluche
French humorist,Pierre Desproges
President of France,Georges Pompidou
American cyclist,Lance Armstrong
Roman general in the Second Punic War,Scipio Africanus
American astronaut,Buzz Aldrin
only biological child of Augustus,Julia the Elder
Indian nationalist leader and politician,Subhas Chandra Bose
Russian motorcycle speedway rider,Emil Sayfutdinov
"American jazz trumpeter, flugelhornist and singer",Chet Baker
"Italian comedian, actor, and musician",Totò
American actor and producer,Tom Hanks
general and politician of the ancient Roman Republic,Scipio Aemilianus
chemical compound,benzene
Danish motorcycle speedway rider,Nicki Pedersen
Roman senator and historian,Tacitus
Dutch footballer,Robin van Persie
German politician,Ludwig Erhard
265th Pope of the Catholic Church,Benedict XVI
Chancellor of West Germany 1974-1982,Helmut Schmidt
German social-democratic politician; Chancellor of the Federal Republic of Germany,Willy Brandt
Chancellor of West Germany,Kurt Georg Kiesinger
Scottish comic book writer,Mark Millar
President of Germany from 2010 to 2012,Christian Wulff
"German politician (CDU); president of Germany, 2004-2010",Horst Köhler
German politician (SPD),Gerhard Schröder
German politician,Joachim Gauck
President of Germany from 1 July 1999 until 30 June 2004,Johannes Rau
"German statesman, Federal Chancellor of Germany, politician (CDU)",Konrad Adenauer
"British army officer and administrator, Lieutenant Governor of Upper Canada",Isaac Brock
former President of the Federal Republic of Germany,Roman Herzog
former chancellor of West Germany (1982-1990) and then the united Germany (1990-1998),Helmut Kohl
President of the Federal Republic of Germany,Karl Carstens
American comic book artist,John Romita Jr.
"English film producer, director and screenwriter",Matthew Vaughn
Governing Mayor of West Berlin and President of the Federal Republic of Germany,Richard von Weizsäcker
German politician,Heinrich Lübke
"German politician, President of Germany 1969-1974",Gustav Heinemann
President of Germany (1974-1979),Walter Scheel
German jurist and politician,Manfred Gerlach
American actress,Johanna Braddy
former General Secretary of the Socialist Unity Party of East Germany,Egon Krenz
German communist politician,Erich Honecker
260th Pope of the Catholic Church,Pius XII
East German politician,Willi Stoph
German politician,Walter Ulbricht
"English singer-songwriter and composer, bassist of The Beatles",Paul McCartney
"British musician, drummer of the Beatles",Ringo Starr
"German politician, president of Germany",Friedrich Ebert
British Royal Navy officer and Arctic explorer,John Franklin
"British musician, lead guitarist of the Beatles",George Harrison
"Prussian-German field marshal, statesman, and president of Germany",Paul von Hindenburg
"American martial artist, actor, film producer and screenwriter",Chuck Norris
website entrepreneur and fetish model,Norma Stitz
German Emperor and King of Prussia,Wilhelm II
"American actor, producer, and musician",Bruce Willis
"French actor, comedian and singer",Bourvil
"American actress, model, musician and writer",Sasha Grey
French actor and comedian,Louis de Funès
"Austrian-American actor, businessman, bodybuilder and politician",Arnold Schwarzenegger
"American pioneer, soldier and politician",Daniel Morgan
leader of the Bedonkohe Apache,Geronimo
"Czech humorist, satirist, writer and anarchist",Jaroslav Hašek
"Polish politician, president of Poland",Lech Kaczyński
German politician,Theodor Heuss
"English rock singer-songwriter, composer and pianist",Elton John
,
President of Belarus since 20 July 1994,Alexander Lukashenko
English statesman,"Sir John Barrow, 1st Baronet"
"politician from Virginia, USA",Willoughby Newton
pioneering English aviator,Amy Johnson
French writer and aviator,Antoine de Saint-Exupery
"American singer, songwriter and dancer",Michael Jackson
"English musician, multi-instrumentalist",Mike Oldfield
American conductor,Mack Wilberg
French author and poet,Charles Maurras
"King of the Franks, King of Italy, and Holy Roman Emperor",Charlemagne
desc,name
Belgian author and visionary,Paul Otlet
"British computer scientist, inventor of the World Wide Web",Tim Berners-Lee
American filmmaker,Stanley Kubrick
First President of the United States,George Washington
British author and humorist,Douglas Adams
16th President of the United States,Abraham Lincoln
24th President of the French Republic,François Hollande
"American former professor, co-founder of Wikipedia, founder of Citizendium and other projects",Larry Sanger
American game show contestant and writer,Ken Jennings
former Prime Minister of the United Kingdom,David Cameron
sovereign state and Scandinavian country in northern Europe,Denmark
Wikipedia co-founder and American Internet entrepreneur,Jimmy Wales
,
French classical scholar,Jean-François Champollion
22nd Prime Minister of Canada,Stephen Harper
43rd President of the United States,George W. Bush
44th President of the United States of America,Barack Obama
Austrian composer of the Classical period,Wolfgang Amadeus Mozart
,
,
French writer,Paul Morand
French painter,Claude Monet
American singer and actor,Elvis Presley
"Greek painter, sculptor and architect",El Greco
Spanish painter,Diego Velázquez
35th & 37th President of Chile,Sebastian Piñera
"Italian mathematician, physicist, philosopher and astronomer",Galileo Galilei
34th & 36th President of Chile,Michelle Bachelet
Chilean politician and former President,Eduardo Frei Ruiz-Tagle
German classical and romantic composer,Ludwig van Beethoven
King of France,Louis IX of France
politician from Chile,Ricardo Lagos
Queen of France,Blanche of Castile
"Führer and Reich Chancellor of Germany, Leader of the Nazi Party",Adolf Hitler
23rd President of the French Republic,Nicolas Sarkozy
,
Dutch footballer,Piet Kraak
"Australian editor, activist, publisher and journalist",Julian Assange
dictator of Chile,Augusto Pinochet
Czech association football player,František Plánička
Belarusian poet and writer,Yanka Kupala
"American entrepreneur, webcam model, and pornographic actress",Jenna Jameson
"Jamaican singer, songwriter, musician",Bob Marley
American pornographic actress and anti-porn activist,Linda Lovelace
"American astrophysicist, cosmologist, author and science educator",Carl Sagan
Chilean politician and former President,Patricio Aylwin
"Polish politician, Nobel Peace Prize winner, former President of Poland",Lech Wałęsa
Chilean physician and politician,Salvador Allende
"American singer-songwriter, musician, author, and artist",Bob Dylan
French Enlightenment philosopher and encyclopædist,Denis Diderot
French singer-songwriter and poet,Georges Brassens
German mathematician,Philipp Ludwig von Seidel
American stand-up comedian and television host,Bill Maher
French Decadent and Symbolist poet,Arthur Rimbaud
"1700–1755, German-born French soldier and statesmen","Ulrich Frédéric Woldemar, Comte de Lowendal"
,
president of Chile y un bueno pa la tula,Eduardo Frei Montalva
French poet,Charles Baudelaire
Swedish alpine skier,Ingemar Stenmark
"Soviet singer, songwriter, poet and actor",Vladimir Vysotsky
French writer,Émile Zola
Italian general and politician,Giuseppe Garibaldi
French chemist and microbiologist,Louis Pasteur
American television presenter,Rachel Maddow
"French general, First Consul and later Emperor of the French",Napoleon
"American singer-songwriter, poet and visual artist",Patti Smith
"French poet, novelist, and dramatist",Victor Hugo
French veterinary surgeon (1712-1779),Claude Bourgelat
Chilean politician and President,Jorge Alessandri
French poet and artist,Brigitte Fontaine
French horticulturalist (1719-1786),Pierre Poivre
Chancellor of Germany,Angela Merkel
American journalist,Ezra Klein
Japanese baseball player,Ichiro Suzuki
French fashion designer,Hedi Slimane
Portuguese poet,Luís de Camões
Roman Catholic saint,Kateri Tekakwitha
"American businessman and politician, former mayor of New York City",Michael Bloomberg
Argentine association football player,Lionel Messi
Italian former professional footballer,Alessandro Del Piero
"Renaissance mathematician, Polish astronomer, physician",Nicolaus Copernicus
French journalist and TV host,Frédéric Taddeï
Chilean army officer and political figure,Carlos Ibáñez del Campo
member of the French Resistance during WWII,Jean Moulin
"British recording artist; singer, songwriter, musician and record producer",Kate Bush
Canadian singer-songwriter,Neil Young
"German philosopher, writer and politician",Friedrich Theodor Vischer
French physicist and mathematician,André-Marie Ampère
Italian physicist,Alessandro Volta
last active pharaoh of Ptolemaic Egypt,Cleopatra
French playwright and actor,Molière
American musician,Stevie Wonder
founder and first emperor of the Mongol Empire,Genghis Khan
English playwright and poet,William Shakespeare
French tragedian,Pierre Corneille
,
French dramatist,Jean Racine
French Symbolist poet,Stéphane Mallarmé
"Italian actor, playwright, comedian, singer-songwriter, theater director, painter, and political activist",Dario Fo
French poet,Paul Verlaine
Chilean politician and President,Juan Antonio Rios
Chilean politician,Gabriel Gonzáles Videla
"American actress, dancer, glamour model and Web personality",Coco Austin
medieval Russian artist,Andrei Rublev
Italian Renaissance polymath,Leonardo da Vinci
Gibraltarian rhythmic gymnast,Georgina Cassar
state of the United States of America,Utah
Russian author,Mikhail Bulgakov
Chilean politician and President,Arturo Alessandri
"Soviet and Russian film-maker, writer, film editor, film theorist, theatre and opera director",Andrei Tarkovsky
Chilean politician and President,Juan Luis Sanfuentes
Chilean politician and President,Pedro Aguirre Cerda
French poet and criminal,François Villon
Russian-American poet,Joseph Brodsky
General secretary of the Communist Party of the Soviet Union,Joseph Stalin
Polish politician and Prime Minister,Józef Piłsudski
Classical Greek philosopher,Plato
"Classical Greek philosopher, student of Plato and founder of Western philosophy",Aristotle
"British philologist and author, creator of classic fantasy works",J. R. R. Tolkien
British comic actor and filmmaker,Charlie Chaplin
American actress,Meryl Streep
classical Greek Athenian philosopher,Socrates
Dutch writer and translator,J. Bernlef
"Norwegian polar researcher, who was the first to reach the South Pole",Roald Amundsen
"Argentine short-story writer, essayist, poet and translator",Jorge Luis Borges
British physicist and mathematician and founder of modern classical physics,Isaac Newton
"Russian architect, one of the founders of constructivism",Konstantin Melnikov
Dutch author,Harry Mulisch
German-speaking Bohemian Jewish novelist and short story writer,Franz Kafka
Australian writer and feminist,Miles Franklin
Emperor of Brazil and later King of Portugal,Pedro I
German-born physicist and founder of the theory of relativity,Albert Einstein
Soviet nuclear physicist and human rights activist,Andrei Sakharov
"264th Pope of the Catholic Church, saint",John Paul II
Swiss musician and music producer,Roman Camenzind
"Polish politician, current President of the European Council",Donald Tusk
Russian author,Fyodor Dostoyevsky
American physicist and engineer,John Bardeen
pre-eminent leader of Indian nationalism during British-ruled India,Mahatma Gandhi
"British naturalist, author of ""On the origin of species, by means of natural selection""",Charles Darwin
Slovenian biologist,Ivan Regen
"Indian lawyer, statesman, and writer, first Prime Minister of India",Jawaharlal Nehru
Italian Marshal of the Air Force and minister,Italo Balbo
Indian politician,Narendra Modi
"Swedish botanist, physician, and zoologist",Carl Linnaeus
"Slovene national poet, a Carniolan Romantic poet of Slovene descent",France Prešeren
Roman politician and general,Julius Caesar
Italian poet and novelist,Alessandro Manzoni
Italian poet,Dante Alighieri
,
French Baroque composer and music theorist,Jean-Philippe Rameau
"American lawyer, politician and 42nd President of the United States",Bill Clinton
Indian Prime Minister,Indira Gandhi
French composer,Maurice Ravel
British house music DJ,Julio Bashmore
Italian-born French composer,Jean-Baptiste Lully
French Romantic composer,Hector Berlioz
German painter,Hubert Salentin
"English singer and songwriter, founding member of The Beatles",John Lennon
11th President of Italy,Giorgio Napolitano
American singer and songwriter,Bruce Springsteen
10th President of Italy,Carlo Azeglio Ciampi
9th President of Italy,Oscar Luigi Scalfaro
7th President of Italy,Sandro Pertini
8th President of Italy,Francesco Cossiga
6th President of Italy,Giovanni Leone
Jamaican sprinter and soccer player,Usain Bolt
5th President of Italy,Giuseppe Saragat
